Sno,SensorId,Temperature,PH,EC,Mortality,DateTime
687,220,23.44,7.67,2.2,0,2022-04-27T00:39:41.0070000
688,220,23.44,8.13,1.43,0,2022-04-27T00:54:40.9800000
689,220,23.44,7.94,1.72,0,2022-04-27T01:09:40.9930000
690,220,23.44,8,1.81,0,2022-04-27T01:24:41.0700000
691,220,23.44,8.11,1.54,0,2022-04-27T01:39:41.0770000
692,220,23.44,7.69,2.14,0,2022-04-27T01:54:41.1200000
693,220,23.44,8.13,1.49,0,2022-04-27T02:09:41.1230000
694,220,23.44,8.08,1.54,0,2022-04-27T02:24:41.0900000
695,220,23.44,7.83,2.08,0,2022-04-27T02:39:41.0430000
696,220,23.44,8.16,1.46,0,2022-04-27T02:54:41.0630000
697,220,23.44,8.08,1.54,0,2022-04-27T03:09:40.9970000
698,220,23.44,7.8,2.11,0,2022-04-27T03:24:41.0400000
699,220,23.44,8.16,1.43,0,2022-04-27T03:39:41.0730000
700,220,23.44,7.75,2.17,0,2022-04-27T03:54:41.0270000
701,220,23.44,8.16,1.49,0,2022-04-27T04:09:41.0030000
702,220,23.44,7.86,1.84,0,2022-04-27T04:24:41.0130000
703,220,23.44,8.16,1.46,0,2022-04-27T04:39:41.1230000
704,220,23.44,7.94,1.69,0,2022-04-27T04:54:41.1500000
705,220,23.44,8.19,1.49,0,2022-04-27T05:09:41.0830000
706,220,23.44,8.13,1.54,0,2022-04-27T05:24:41.0800000
707,220,23.44,7.94,1.93,0,2022-04-27T05:39:41.1930000
708,220,23.44,8.13,1.52,0,2022-04-27T05:54:41.1070000
709,220,23.44,7.72,2.05,0,2022-04-27T06:09:41.2230000
710,220,23.44,8.16,1.49,0,2022-04-27T06:24:41.0900000
711,220,23.44,7.89,1.75,0,2022-04-27T06:39:41.2270000
712,220,23.44,8.16,1.66,0,2022-04-27T06:54:41.0470000
713,220,23.37,8.13,1.52,0,2022-04-27T07:09:41.3170000
714,220,23.44,7.75,2.02,0,2022-04-27T07:24:41.1730000
715,220,23.44,8.08,1.72,0,2022-04-27T07:39:41.1270000
716,220,23.44,8.13,1.52,0,2022-04-27T07:54:41.2230000
717,220,23.44,7.72,2.2,0,2022-04-27T08:09:41.0870000
718,220,23.44,8.16,1.49,0,2022-04-27T08:24:41.1730000
719,220,23.44,8.11,1.54,0,2022-04-27T08:39:41.2030000
720,220,23.44,7.97,1.87,0,2022-04-27T08:54:41.1470000
